Network Name,MCC,MNC,IMSI_PREFIX,Realm,Country,Valid_From,Valid_To
"Net*One Cellular, Zimbabwe",648,01,64801,,Zimbabwe,,
"Econet, Zimbabwe",648,04,64804,econetlte.co.zw,Zimbabwe,,
"Cable and Wireless, Antigua",344,920,344920,,Antigua,,
"Orange, Luxemburg",270,99,27099,epc.mnc099.mcc270.3gppnetwork.org,Luxembourg,,
"Togo Cell, Togo",615,01,61501,,Togo,,
"Togo Cell, Togo",615,01,61501,,Togo,,
"Moov, Togo",615,03,61503,,Togo,,
"Moov (Atlantique Telecom), Ivory Coast",612,02,61202,,Ivory Coast,,
"Koz, Ivory Coast",612,04,61204,,Ivory Coast,,
"OriCel, Ivory Coast",612,05,61205,,Ivory Coast,,
Telekom Networks Malawi Limited,650,01,65001,,Malawi,,
